détails,état,marque,adresse,prix,image_lien
MACBOOK PRO,Neuf,N/A,"Dieuppeul, Dakar",225000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/13b2921f85844f1e31bf9a3420ba5264/-/horizon-files-prod/ed/picture/q8vm4kr9/e0b7d85cf06a7177cdf896ea28cde2ff93c650d2.jpg
MACBOOK PRO,Venant,N/A,"Dieuppeul, Dakar",320000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ac6957035542ac307e4fe85345bf9b6e/-/horizon-files-prod/ed/picture/q0gkkwxg/7c5e54e01b63f9cc66c820c140eb64d2b460d2ac.jpg
"Gamer Hp 745 g6 Rizen pro7 ram 16 go, 2 go dèdié",Venant,HP,"Médina, Dakar",195000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2f6d140b4b6f6f7b4ab1628b7c45d0b3/-/horizon-files-prod/ed/picture/q4454dj8/23072e10ce3a3126efa0356f6f995630897abefd.jpg
LENOVO THINKPAD E14 Gen 6 Ultra 5,Neuf,Lenovo,"Plateau, Dakar",650000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/24208a58f9f195607e9a564c80da137f/-/horizon-files-prod/ed/picture/qng9077r/fcb207a8687ec235faac625ffebeb7f3ff3fddde.jpg
Surface book 2 Gtx 1060 6Go,Venant,Microsoft Surface,"Yoff, Dakar",275000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3a0b4f6b087f828ea35cf421e7206926/-/horizon-files-prod/ed/picture/qwerngnm/24f413adfc7d812fc735b74c86709e51aa609f83.jpg
Surface book 2,Venant,Microsoft Surface,"Yoff, Dakar",175000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2cffa58796527b1be6a3adc97ffc11dc/-/horizon-files-prod/ed/picture/q0gk8nne/b179ab492db0c0aa8680b4cb1f4411cdacda0bbd.jpg
Hp elitebook 840 G5,Venant,HP,"Yoff, Dakar",150000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8a0086419a63c9337b3db0778b23bbc5/-/horizon-files-prod/ed/picture/q6xqrnnj/b9194f6bb14b797b7f40aee35439ff0f77447005.jpg
Dell i7 9th ssd 512gb 16gb ram,Venant,Dell,"Guediawaye, Dakar",180000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/744bbf8e95d938965a059fee9c408b11/-/horizon-files-prod/ed/picture/q6xqrk77/566a9a56714a291391802a2641f0f5fabf6c1323.jpg
ALL IN ONE HP CORE I5 TACTILE 8GB 512SSD,Neuf,HP,"Médina, Dakar",550000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/820b2fd3ca3b69b4a90c8199d76747a1/-/horizon-files-prod/ed/picture/q44nx84z/384177caef6645da40afc5f463edb4dd52ef8ec8.jpg
"Ecran HP 32F Display Full HD 32"" 1920 x 1080",Neuf,HP,"Médina, Dakar",225000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7b98144c257f89a42f34add64fec110a/-/horizon-files-prod/ed/picture/q56d2vmx/5907742ff1bdb986ea042845f6705d57b6746d0e.png
ALL IN ONE HP CORE I3 8GB 512SSD,Neuf,HP,"Médina, Dakar",345000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/583c432859f631850f66cecc243b338e/-/horizon-files-prod/ed/picture/qkr8wgg5/5b9eb9ed0e12a13208d2772ee3f81fa0d7a851f8.png
MacBook Air M2,Venant,Apple,"Médina, Dakar",460000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/93a0feb3e800a95d3438e8d572ef98f0/-/horizon-files-prod/ed/picture/qxj8wgpm/c9196146eace7533337d9db5a520713ccf9fcd4a.jpg
MacBook Air M4 (2025) Ram 16Go SSD 512Go Scellé,Neuf,Apple,"Gueule-Tapée, Dakar",830000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/afe64b3a6fd2baa1111e916458197f4e/-/horizon-files-prod/ed/picture/q6xqnmw4/afc34e174b97880424d18987c254b776bdc09e85.jpg
Macbook Pro M1 ( 2020 ). 8GB/ 256 SSD,Venant,Apple,"Zone de captage, Dakar",450000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ef05f9259e8c36d9b539f62e7cc33973/-/horizon-files-prod/ed/picture/qng909m0/47014c0b895f25c419cf8461181dd67b2b568c6f.jpg
HP Elitebook 840 G8 cor i7 de 11th Gen,Neuf,HP,"Médina, Dakar",480000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b351f9e22af7a63b556506e6ba0e8cdd/-/horizon-files-prod/ed/picture/q8vmmngp/4e796b5a115e63800e4032a28b00c7485d096a96.jpg
Dell Optiplex 7460 All in One cor i5,Venant,Dell,"Médina, Dakar",250000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0394d07c157fcbb8dab03b62ece90bd7/-/horizon-files-prod/ed/picture/qkr767jz/3338fb7612090bfa1289d95365b10063c3f3e2c5.jpg
HP PROBOOK 450 G6,Venant,HP,"Médina, Dakar",160000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2c742a8c4dd75d7284ad73f88d85c0e2/-/horizon-files-prod/ed/picture/qq42492v/ef3cb5076bcc7b1295919d8243bb869e6340e6d9.jpg
MacBook Pro 2017 i7 touchbar,Venant,Apple,"Médina, Dakar",290000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/707adb1a3da28d6d491962f31d9f3599/-/horizon-files-prod/ed/picture/q2jkkqxk/9ccf91b9ef09e401ecf0aaa09e1d7a2158413809.jpg
Dell Inspiron 7620 2-en-1 I7-12GEN/16GO/512SSD,Neuf,Dell,"Médina, Dakar",500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d3b5c8a50c17088b72a636e8503154bc/-/horizon-files-prod/ed/picture/qq4zq6vj/dbdbeed6b1303b4de8e66a3ac0e080e57ade8cdd.jpg
ASUS VIVOBOOK I7-10GEN/16GO/512SSD,Neuf,ASUS,"Médina, Dakar",350000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b37786a55a7e4fa7c22923eb89c5b4a7/-/horizon-files-prod/ed/picture/qpdmkwmv/8330252be114d676de41c5f5dccb60115560fcbc.jpg
