détails,état,marque,adresse,prix,image_lien
MacBook Pro 2024 14 Pouces-M4 Max | 36GB RAM | 1 Téra,Neuf,Apple,"Point-e, Dakar",1650000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6ee429d0544e5f19ec0d3b5ed7c46dad/-/horizon-files-prod/ed/picture/qj465dpz/d1e315d958069783bde5f6e366a60bf6e77f3fad.jpg
Mac air puce M2 2022 RAM 8go disque,Neuf,Apple,"Hlm, Dakar",475000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e1445a7576bf3a11115a7b1ee72b0361/-/horizon-files-prod/ed/picture/q8vmk2pz/7123f2a5aea747de14313a0ac441b270a810b05a.jpg
Acer aspir 3,Venant,Acer,"Plateau, Dakar",140000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/70496b548319cb754a05f139ded7497b/-/horizon-files-prod/ed/picture/qzv8z8ed/169a8ac9ddb76863a224fcb1cdf64386b1148cfc.jpg
Dell 5430 12th /512Go,Neuf,Dell,"Plateau, Dakar",450000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8739d0348fd7f977386a5de707841c39/-/horizon-files-prod/ed/picture/qj466z45/1bef561ce64ff4014222983d1c8de6b670bb7211.jpg
Dell 5410 i5 10gen,Venant,Dell,"Plateau, Dakar",190000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/49398f11b4978f6f588fee9c06346776/-/horizon-files-prod/ed/picture/q8vmk580/552980433445dd7e2ee09e72104b314620709be4.jpg
MacBook Air 13 pouces M4 16GB SSD 512,Neuf,Apple,"Fass, Dakar",850000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/10603958f219254ad58df38b9b35e9f5/-/horizon-files-prod/ed/picture/qv4d90w8/cf5498a291c4432ed400d3c5ecbab93624fc4aed.jpg
LONOVO THINKPAD,Venant,Lenovo,"Médina, Dakar",190000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ddf413c2be0f44d71b715feca227d591/-/horizon-files-prod/ed/picture/qzv8pwvn/b39f52fd13f887680b573b2333a6b0a9d23a6f7f.jpg
HP DUAL CORE,Venant,HP,"Médina, Dakar",75000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/aeff86329513ae9b6c46fde8b3f9d58e/-/horizon-files-prod/ed/picture/q9mkjv96/8c2bfb737dbd4b1d2d7063a52e114eecef47735e.jpg
HP DUAL CORE,Venant,HP,"Médina, Dakar",60000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8fae117b13435405d0776aef062bc4e4/-/horizon-files-prod/ed/picture/q8vm4rzp/21f12c413fa317663d64762175b40d795bf62522.jpg
Hp elitebook core i5 8th tactile,Venant,HP,"Point-e, Dakar",120000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/558c56037d59843d42a435829d3ce99f/-/horizon-files-prod/ed/picture/qgqm4j2e/5221be1eb067299da9dcf60a6c6a855ad449ff36.jpg
"MacBook Air 13"" (2025) sceller",Neuf,Apple,"Sicap Sacré-cœur, Dakar",750000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c392d9306c06deb923c63d776c6b3503/-/horizon-files-prod/ed/picture/qkr76x8p/23785300dc5202358c122e5af2cd6cbdaee9502b.jpg
ASUS TUF GAMING RTX 4060,Neuf,ASUS,"Sicap Sacré-cœur, Dakar",750000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/227a3489d6cf0636d42a49ad7f94303a/-/horizon-files-prod/ed/picture/q0gk80q8/8b4b4a46c66ce9e4a4794dfaeb0e6786e6de398b.jpg
