détails,état,marque,adresse,prix,image_lien
"Hisense QLED 55"" AI 4K (2024)🇺🇸",Neuf,Hisense,"Pikine, Dakar",380000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fc65506e81aff40fc49b7bba4ede8518/-/horizon-files-prod/ed/picture/q78wn79q/daa7e3d955f9ea04b5a00b9b67b3a5f05b213e58.jpg
Télévision Wiwlil 43 pouces smart tv,Neuf,Autre,"Castor, Dakar",107000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/69c1ec9c1fe187004f72154ccd0ac0da/-/horizon-files-prod/ed/picture/q0g75nvm/c929eca654d6c683d35c4bc218902070edc33cc2.jpg
Télécommande Téléviseur et Box TV,Neuf,Autre,"Parcelles Assainies, Dakar",15000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/117b1fbf1b2cb3099707fb4e253ffd1f/-/horizon-files-prod/ed/picture/qde9drj0/60b27a0161a35d42e9e638dcf6460112c4f2adee.jpg
Télécommande Téléviseur et Box Box Android,Neuf,Autre,"Parcelles Assainies, Dakar",10000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7f4a1d16c0b026bf4f790a9a30e6fd16/-/horizon-files-prod/ed/picture/qxj8wdz4/f5179e13431fcdf78ac3118415ec99068bead6f6.jpg
Télévision 32 pouces smart tv,Neuf,Autre,"Castor, Dakar",65000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/34475cac188c82b20f718cb07eacaf88/-/horizon-files-prod/ed/picture/qngp27kg/37f384e09aa78d6701741019d694e54ce8b14485.jpg
"tv smart sharp android 32"" full options",Neuf,Sharp,"Ouakam, Dakar",100000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6f0effa5a1eff963513046a98297f390/-/horizon-files-prod/ed/picture/q56pp6zr/5c9e2700528df89c1f8b9137569c663a53522d5e.jpg
"tv smart hisense 55""",Neuf,Hisense,"Ouakam, Dakar",280000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8e2e856bf7c315495236962a9da6faa5/-/horizon-files-prod/ed/picture/qgqwgex9/ef8b2bf97b8442e0efcee47454988b5f0c2ad1de.jpg
"LG SMART 86"" UHD 4K (2024)",Neuf,LG,"Patte d‘oie, Dakar",1400000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2749e4019cb87ad12977e5a36bc11245/-/horizon-files-prod/ed/picture/q9mjzwj0/7a68866a69c5aaf30406d0e90daed860f75352bb.jpg
TV Astech Android,Neuf,Astech,"Plateau, Dakar",125000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/98d257eea44b17ec1b3bc253b0b35515/-/horizon-files-prod/ed/picture/qgqw4552/4ad1e3b68ecafcedfadbe274064b21fe79f2bf92.jpg
"SMART TV HISENSE 32"" (2024)",Neuf,Hisense,"Pikine, Dakar",100000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e056b3f5da7835336be6a6dfdba10413/-/horizon-files-prod/ed/picture/qj46rgdd/f3f2d6bdaebf923d6e31ab58b288eb51d130e60e.jpg
ÉCRAN PLAN SMART TECHNOLOGY 75’’ 4K HD,Neuf,Autre,"Ouakam, Dakar",400000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6546c681713883e45727744b69dbda4a/-/horizon-files-prod/ed/picture/qrzrng7g/c600d7397a82b43c32e2b2aa562e015bc3e13da5.jpg
Télé Hisense 43 pouces Smart TV QLED 4k,Neuf,Hisense,"Dakar, Dakar",135000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/03e56f8ee4e1aef1ae58aa01486caf2d/-/horizon-files-prod/ed/picture/qwergdk6/6199a62fce9fe6d8935f40226239f1d18f25e2af.jpg
TELEVISEUR 49POUCES LG LED LK5100PVB,Neuf,LG,"Plateau, Dakar",219000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/759ffb2a8c04e6ba4fa8038fe28c187a/-/horizon-files-prod/ed/picture/qv4dg295/cb1538b89a8efeb3b7d1b4c28c0ed26d3e620fbc.jpg
"LG SMART 75"" UHD 4K (2024)",Neuf,LG,"Patte d‘oie, Dakar",750000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/82732e351e4770f9f38523b1cfafeada/-/horizon-files-prod/ed/picture/q4454vpm/5de864545af560ad6db7c4ca724cf3a2ad9a5667.jpg
Google Tv Astech 55 Pouces 2025,N/A,N/A,"Dakar, Dakar",249000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/db6ed7ebf34764da2f947152824c7f69/-/horizon-files-prod/ed/picture/q78jpedx/4db02801da6676056c4a8c6a1ffe5deaa0438854.jpg
TELEVISEUR 70POUCES LG SMART 4K UP7550PVD,Neuf,LG,"Plateau, Dakar",529000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/04847c2d6923612f269164629b98d11e/-/horizon-files-prod/ed/picture/qv4dg70k/a3509ec08e6b7fde07e6b7db6477fa42dfd373ef.jpg
Tv 50 pouce smart technology,Neuf,Autre,"Colobane, Dakar",170000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b35ebcb1d53cce4e7358a93754195c3a/-/horizon-files-prod/ed/picture/q4450zg5/3d667a11fa41dd9a8d29b80ffa0db5ad15db00fd.jpg
TELEVISEUR 55POUCES SMART TECHNOLOGY SMART ANDROID UHD,Neuf,Autre,"Plateau, Dakar",198000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/68f07020afbeda85973312d4966ca21c/-/horizon-files-prod/ed/picture/qenr908k/e1f94d52157a3c9a18ec8321f20f816582f0472c.jpg
TELEVISEUR 55POUCES SMART TECHNOLOGY SMART ANDROID UHD,Neuf,Autre,"Plateau, Dakar",198000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/16e814a0f7c41be8f26919637e54b553/-/horizon-files-prod/ed/picture/qde90v6w/cec2a9bf4a6c0e7a052822842a05994365e643cc.jpg
"SMART LG 55"" UHD 4K (2024)",Neuf,LG,"Pikine, Dakar",350000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0299adcb564bc6304da17d50ce9bae53/-/horizon-files-prod/ed/picture/qm5g7wjw/e918cd2e234ac57c128c9611e79257dd81368853.jpg
"SAMSUNG SMART 70"" UHD 4K",Neuf,Samsung,"Pikine, Dakar",650000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/64d14579147f4249ec27ca8a5998ce5a/-/horizon-files-prod/ed/picture/qv4wrnxk/85fe02f936d4a1b8e6f9bb4158e83d9c77171578.jpg
Téléviseur Samsung 32 Pouces Smart TV,Neuf,Samsung,"Plateau, Dakar",115000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b56f27ee642485f35a5c84519f52ecf2/-/horizon-files-prod/ed/picture/qxj8gmg0/6e2222f405f3a0085d4e5d10aba22233646222ac.jpg
Téléviseur Samsung 43 Pouces Smart TV,Neuf,Samsung,"Plateau, Dakar",175000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/54184fa60c1c5edd69f0ad884f0f2f4d/-/horizon-files-prod/ed/picture/qde9rvr4/ec97d75412055795c45016c221205b140336149e.jpg
Téléviseur Hisense 55 Pouces,Neuf,Hisense,"Plateau, Dakar",255000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e534c03fb402addfc548510e2fe0f536/-/horizon-files-prod/ed/picture/q6xqnwnv/2f4f97ebfb36f7925e3d29a519dda54d1c122456.jpg
Téléviseur Lg 55 Pouces 4K,Neuf,LG,"Plateau, Dakar",290000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ec78b19dcbe8765115c998eb002e9882/-/horizon-files-prod/ed/picture/qq4z9n97/a185eabc9ae0fb95b7a109d70c23f67341b0c1fc.jpg
"LG SMART 65"" UT80 4K AI (2024)",Neuf,LG,"Pikine, Dakar",500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/693a3018ea1c2c6efd38c9bd3d277b74/-/horizon-files-prod/ed/picture/qj464054/8df16fb2be364002fa5bac5233926657710661ac.jpg
TELEVISEUR 70POUCES HISENSE LED SMART UHD 4K 70A6K,Neuf,Hisense,"Plateau, Dakar",459000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/eb276b303a863836f420d3e898f2b960/-/horizon-files-prod/ed/picture/q78jp46z/ce47ba559ad9b0255a6ec8344c075ea458b57144.jpg
TELEVISEUR 49POUCES LG LED LK5100PVB,Neuf,LG,"Plateau, Dakar",219000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/12cd295fba9e8909d0ebab0fb394f219/-/horizon-files-prod/ed/picture/q2jk79xd/541d576d37f40e04e177b081c8b7c8ad5b2f4e6b.jpg
TELEVISEUR 32POUCES EVERFINE LED,Neuf,Autre,"Plateau, Dakar",59000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ef2a3a5f8d3af69da051d974477b6b51/-/horizon-files-prod/ed/picture/qxj8g9m8/086f7cce38f76ccd8ddde1d3b9595282a8d9f490.jpg
TV Samsung promo big bazar allemand,Neuf,Samsung,"Liberte 5, Dakar",225000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/33f1c5ffb06ba8963e614d9db3180919/-/horizon-files-prod/ed/picture/qngx64ew/a6db108ae2e6ff1be5027632684cbbcdaf40589c.jpg
Téléviseur Smart 55 Pouces Android,Neuf,Autre,"Plateau, Dakar",190000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a8e5df4b21d278523a4bc518e636227a/-/horizon-files-prod/ed/picture/qv4dg0x5/d1749e27048976fd1e486bab8fe0c859e8c690b9.jpg
Téléviseur Hisense 65 Pouces Smart Tv,Neuf,Hisense,"Plateau, Dakar",340000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/db2705fdf86c2aede14d988d2addbba6/-/horizon-files-prod/ed/picture/qde90z40/efb2368c9bd654b9dd86308d74b9cf0eccd343f1.jpg
Abonnement TV IPTV,D'occasion,TCL,"Almadies, Dakar",5000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/931a8b4a239c464c76f735c321a4c45f/-/horizon-files-prod/ed/picture/qv4w2md2/3a6cca9f8d57d562fb599890abd38c73370f02ac.jpg
Home Cinema SAMSOUND 5.1 DM8537B,Neuf,Samsung,"Grand-Dakar, Dakar",75000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e75cf55a579d1f4c292a3658eb0d585a/-/horizon-files-prod/ed/picture/qnqge9z/01c367e43c9c2d6bb1b3a71ff01a6ecfaa79d12f.jpg
Je revends une télévision de marque TCL,D'occasion,Autre,"Ouakam, Dakar",70000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/157e6d9e0f47def6ffbba17c968104f5/-/horizon-files-prod/ed/picture/qq4z9864/fd9c3a8107d2516ef62365157776ad3d9e79c685.jpg
TELEVISEUR 43POUCES SAMSUNG UA 43N5000AS,Neuf,Samsung,"Plateau, Dakar",159000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8c76828f7ae063bd01878d217de3c50c/-/horizon-files-prod/ed/picture/q56p9vjp/855599e1dcdb9e04dbd4ca65299ff094e96d65a4.jpg
TELEVISEUR 40POUCES SAMSUNG UA 40N5000AS,Neuf,Samsung,"Plateau, Dakar",149000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1c597afbd729dd22aa45943903155d58/-/horizon-files-prod/ed/picture/q8vmpnw7/abbb80c321d8f2827abbe19bba0829c08f2dc4fe.jpg
Television 32 pouces,Neuf,Philips,"Hlm, Dakar",80000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/05979e26e87877eda1f358c7fe95b795/-/horizon-files-prod/ed/picture/qxj8gx70/a0ca4e64caf84671025a9e60607bdf0d7d799d10.png
TELEVISEUR 75POUCES SAMSUNG UE SMART 4K AU/CU7170,Neuf,Samsung,"Plateau, Dakar",698000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/56c2d82c79dcfd89aafd3119df71e31a/-/horizon-files-prod/ed/picture/q0gkn5jz/67a8895ff45397636d856767c72df7893c64a1d6.jpg
TELEVISEUR 43POUCES SAMSUNG SMART UA 43N5300AS,Neuf,Samsung,"Plateau, Dakar",179000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a2af44ce42166fbe2a048cbe15743b72/-/horizon-files-prod/ed/picture/qj46p2e4/33ca9dc59e76948816574528b6bf0d21ea090ae8.jpg
TELEVISEUR 85POUCES SAMSUNG SMART QLED 85Q60CAU,Neuf,Samsung,"Plateau, Dakar",1239000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0a773b5d69eabc520077f866658373e9/-/horizon-files-prod/ed/picture/qrzrn5x9/a554d610fcc6d08f2af2724f7a5925763eec30f0.jpg
TELEVISEUR 32POUCES SAMSUNG SMART UA32N/T5300AS,Neuf,Samsung,"Plateau, Dakar",119000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6c850e0bc8acc41a19b8cda4ea7f26da/-/horizon-files-prod/ed/picture/qq4z9grn/ec9ab0c3a803792182921c6c9e1259255c115851.jpg
TELEVISEUR 55POUCES SAMSUNG QLED 4K 55Q60D,Neuf,Samsung,"Plateau, Dakar",398000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/675342aee32f4c762b83261f2c3f7ec9/-/horizon-files-prod/ed/picture/qv4dgxjx/fd491853b57cca3a9eb27239914169d435189b8c.jpg
TELEVISEUR 75POUCES SAMSUNG SMART 4K UACU8100KXXT,Neuf,Samsung,"Plateau, Dakar",698000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fd1b007d16e984e2d6231a2665490106/-/horizon-files-prod/ed/picture/q0gkn56m/c4a98d8c8bcad87dba5bfd6f48664eeb3f6f6e6f.jpg
TELEVISEUR 85POUCES SAMSUNG QLED 85Q60DAU,Neuf,Samsung,"Plateau, Dakar",1239000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/520676e79959f2e664f2d776f76350ae/-/horizon-files-prod/ed/picture/q6xqnzwp/6fb59a69efdc3a206e9e2038f441c018daff2673.jpg
